-2.833252, -0.8322142
3.184201, -0.8686099
-1.952904, -1.571212
-3.052505, 2.038401
2.962141, -1.498926
0.7335774, 1.859424
-3.450433, -3.734395
-2.383638, -3.365387
3.121139, -2.943077
-4.597279, 3.905764
-2.421111, 2.161819
-2.432243, -2.73092
2.340511, -1.240626
-0.8279, -2.548007
-3.919777, -4.855692
-0.3107063, 2.70133
2.45844, -1.651483
-3.551475, -2.355259
2.168498, -1.005718
-0.5650524, -5.215965
-0.6740799, 1.797777
-4.096655, 3.012433
-1.87378, 4.774111
4.720687, 1.025196
6.126607, -0.250485
4.173074, -0.8720528
-0.5975906, 3.356542
-0.7848109, 3.701316
-1.007962, -0.6703382
-0.5104475, -2.487033
-0.3267017, 1.486761
-2.806948, -0.7289413
0.3333446, 5.232386
0.984763, 5.539903
-2.167614, -0.4481633
6.070591, 3.050193
5.16077, -1.628052
-0.7604011, 1.393056
2.600028, 2.222947
4.061447, 5.600957
4.635277, 1.430392
3.991306, -1.10367
-2.43124, 6.428222
0.5530824, -1.72984
-0.05475013, 3.197213
